model,dens_M2,dens_M3,dens_M2b,share_LB,share_Shear,share_Moment,share_Bracing
Building_05_DG.rdf,0.005555555555555556,0.011111111111111112,0.0022222222222222227,0.0,0.0,0.0,0.0
Building_06_DG.rdf,0.00815217391304348,0.01630434782608696,0.0032608695652173916,0.0,0.0,0.0,0.0
Freiform_Haus_DG.rdf,0.00974025974025974,0.015584415584415588,0.003896103896103897,0.0,0.0,0.0,0.0
Option03_Revising_DG.rdf,0.001295336787564767,0.0036269430051813485,0.0005181347150259068,0.0,0.0,0.0,0.0
Option04_Rev03_DG.rdf,0.0016891891891891895,0.004391891891891892,0.0006756756756756758,0.0,0.0,0.0,0.0
